DXAB=a甲↗上1.I | 护型=甲 | 日ZA=1
DXAB=c丙↘下4.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=y戊↘忠-5.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-6.B2 | 护型=己 | 日ZA=2
DXAB=r己↗忐-7.B3 | 护型=己 | 日ZA=3
DXAB=a甲↗上1.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上2.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上3.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上4.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上5.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上6.A9 | 护型=甲 | 日ZA=9
DXAB=b乙→中7.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下8.Z-2 | 护型=丙 | 日ZA=-2
DXAB=z丁↘忑-1.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-2.Z-4 | 护型=丁 | 日ZA=-4
DXAB=r己↗忐-3.I | 护型=己 | 日ZA=1
DXAB=a甲↗上1.B2 | 护型=甲 | 日ZA=2
DXAB=a甲↗上2.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上3.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上4.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上5.A6 | 护型=甲 | 日ZA=6
DXAB=b乙→中6.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中7.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙↗上8.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上9.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上10.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上11.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上12.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上13.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上14.A7 | 护型=乙 | 日ZA=7
DXAB=b乙↗上15.A8 | 护型=乙 | 日ZA=8
DXAB=b乙→中16.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下17.Z-2 | 护型=丙 | 日ZA=-2
DXAB=b乙↗上18.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上19.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙→中20.Y暂 | 护型=乙 | 日ZA=-1
DXAB=b乙→中21.Z-2暂 | 护型=乙 | 日ZA=-2
DXAB=b乙↗上22.I暂 | 护型=乙 | 日ZA=1
DXAB=c丙↘下23.Y暂 | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2暂 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3暂 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-5.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-6.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-7.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-8.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-9.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-10.Z-11 | 护型=丁 | 日ZA=-11
DXAB=y戊↘忠-11.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-12.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忑-13.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-14.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-15.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-16.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-17.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-18.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-19.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-20.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忑-21.Z-9 | 护型=戊 | 日ZA=-9
DXAB=y戊↘忑-22.Z-10 | 护型=戊 | 日ZA=-10
DXAB=y戊↘忑-23.Z-11 | 护型=戊 | 日ZA=-11
DXAB=y戊↘忑-24.Z-12 | 护型=戊 | 日ZA=-12
DXAB=y戊↘忑-25.Z-13 | 护型=戊 | 日ZA=-13
DXAB=y戊↘忠-26.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-27.B2 | 护型=己 | 日ZA=2
DXAB=r己↗忐-28.B3 | 护型=己 | 日ZA=3
DXAB=a甲↗上1.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上2.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上3.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上4.A7 | 护型=甲 | 日ZA=7
DXAB=b乙→中5.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上6.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙→中7.Y暂 | 护型=乙 | 日ZA=-1
DXAB=b乙↗上8.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上9.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上10.B3暂 | 护型=乙 | 日ZA=3
DXAB=c丙↘下11.Y暂 | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2暂 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3暂 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-5.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-6.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-7.Z-8 | 护型=丁 | 日ZA=-8
DXAB=y戊↘忠-8.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-9.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-10.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-11.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-12.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-13.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-14.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-15.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-16.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忑-17.Z-9 | 护型=戊 | 日ZA=-9
DXAB=y戊↘忑-18.Z-10 | 护型=戊 | 日ZA=-10
DXAB=y戊↘忑-19.Z-11 | 护型=戊 | 日ZA=-11
DXAB=y戊↘忑-20.Z-12 | 护型=戊 | 日ZA=-12
DXAB=y戊↘忑-21.Z-13 | 护型=戊 | 日ZA=-13
DXAB=y戊↘忑-22.Z-14 | 护型=戊 | 日ZA=-14
DXAB=y戊↘忑-23.Z-15 | 护型=戊 | 日ZA=-15
DXAB=y戊↘忑-24.Z-16 | 护型=戊 | 日ZA=-16
DXAB=y戊↘忑-25.Z-17 | 护型=戊 | 日ZA=-17
DXAB=y戊↘忑-26.Z-18 | 护型=戊 | 日ZA=-18
DXAB=y戊↘忠-27.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-28.B2 | 护型=戊 | 日ZA=2
DXAB=r己↗忐-29.B3 | 护型=己 | 日ZA=3
DXAB=r己↗忐-30.A4 | 护型=己 | 日ZA=4
DXAB=r己↗忐-31.A5 | 护型=己 | 日ZA=5
DXAB=y戊↘忑-32.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-33.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-34.Z-3 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-35.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-36.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-37.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-38.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-39.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忠-40.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-41.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忠-42.I暂 | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-43.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-44.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=r己↗忐-45.I暂 | 护型=己 | 日ZA=1
DXAB=r己↗忐-46.B2暂 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上3.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上4.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上5.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上6.A8 | 护型=甲 | 日ZA=8
DXAB=b乙→中7.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中8.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙→中9.Z-3 | 护型=乙 | 日ZA=-3
DXAB=b乙↗上10.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上11.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上12.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上13.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上14.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上15.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上16.A7 | 护型=乙 | 日ZA=7
DXAB=b乙↗上17.A8 | 护型=乙 | 日ZA=8
DXAB=b乙↗上18.A9 | 护型=乙 | 日ZA=9
DXAB=b乙↗上19.A10 | 护型=乙 | 日ZA=10
DXAB=b乙↗上20.A11 | 护型=乙 | 日ZA=11
DXAB=b乙↗上21.A12 | 护型=乙 | 日ZA=12
DXAB=b乙↗上22.A13 | 护型=乙 | 日ZA=13
DXAB=b乙↗上23.A14 | 护型=乙 | 日ZA=14
DXAB=b乙↗上24.A15 | 护型=乙 | 日ZA=15
DXAB=b乙↗上25.A16 | 护型=乙 | 日ZA=16
DXAB=b乙↗上26.A17 | 护型=乙 | 日ZA=17
DXAB=b乙↗上27.A18 | 护型=乙 | 日ZA=18
DXAB=b乙→中28.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中29.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙→中30.Z-3 | 护型=乙 | 日ZA=-3
DXAB=b乙→中31.Z-4 | 护型=乙 | 日ZA=-4
DXAB=b乙→中32.Z-5 | 护型=乙 | 日ZA=-5
DXAB=c丙↘下33.Z-6 | 护型=丙 | 日ZA=-6
DXAB=b乙↗上34.I | 护型=乙 | 日ZA=1
DXAB=b乙↗上35.B2 | 护型=乙 | 日ZA=2
DXAB=b乙↗上36.B3 | 护型=乙 | 日ZA=3
DXAB=c丙↘下37.Y暂 | 护型=丙 | 日ZA=-1
DXAB=c丙↘下38.Z-2暂 | 护型=丙 | 日ZA=-2
DXAB=z丁↘忑-1.Z-3暂 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-2.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-3.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-4.Z-6 | 护型=丁 | 日ZA=-6
DXAB=r己↗忐-5.I | 护型=己 | 日ZA=1
DXAB=a甲↗上1.B2 | 护型=甲 | 日ZA=2
DXAB=a甲↗上2.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上3.A4 | 护型=甲 | 日ZA=4
DXAB=c丙↘下4.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-5.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-6.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-7.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-8.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-9.Z-10 | 护型=丁 | 日ZA=-10
DXAB=y戊↘忠-10.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-11.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-12.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-13.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-14.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-15.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-16.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-17.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-18.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忑-19.Z-9 | 护型=戊 | 日ZA=-9
DXAB=y戊↘忑-20.Z-10 | 护型=戊 | 日ZA=-10
DXAB=y戊↘忑-21.Z-11 | 护型=戊 | 日ZA=-11
DXAB=y戊↘忠-22.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-23.B2 | 护型=戊 | 日ZA=2
DXAB=r己↗忐-24.B3 | 护型=己 | 日ZA=3
DXAB=a甲↗上1.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上2.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上3.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上4.A7 | 护型=甲 | 日ZA=7
DXAB=b乙→中5.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上6.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙→中7.Y暂 | 护型=乙 | 日ZA=-1
DXAB=c丙↘下8.Z-2暂 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下9.Z-3暂 | 护型=丙 | 日ZA=-3
DXAB=z丁↘忑-1.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-2.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-3.Z-6 | 护型=丁 | 日ZA=-6
DXAB=y戊↘忠-4.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-5.B2 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上3.A5 | 护型=甲 | 日ZA=5
DXAB=b乙→中4.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中5.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙→中6.Z-3 | 护型=乙 | 日ZA=-3
DXAB=c丙↘下7.Z-4 | 护型=丙 | 日ZA=-4
DXAB=b乙↗上8.I | 护型=乙 | 日ZA=1
DXAB=b乙↗上9.B2 | 护型=乙 | 日ZA=2
DXAB=b乙↗上10.B3 | 护型=乙 | 日ZA=3
DXAB=b乙↗上11.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上12.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上13.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上14.A7 | 护型=乙 | 日ZA=7
DXAB=b乙↗上15.A8 | 护型=乙 | 日ZA=8
DXAB=b乙↗上16.A9 | 护型=乙 | 日ZA=9
DXAB=b乙↗上17.A10 | 护型=乙 | 日ZA=10
DXAB=b乙↗上18.A11 | 护型=乙 | 日ZA=11
DXAB=b乙↗上19.A12 | 护型=乙 | 日ZA=12
DXAB=b乙→中20.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上21.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上22.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上23.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上24.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上25.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上26.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上27.A7 | 护型=乙 | 日ZA=7
DXAB=b乙→中28.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下29.Z-2 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下30.Z-3 | 护型=丙 | 日ZA=-3
DXAB=z丁↘忑-1.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-2.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-3.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-4.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-5.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-6.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-7.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-8.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-9.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-10.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-11.Z-14 | 护型=丁 | 日ZA=-14
DXAB=z丁↘忑-12.Z-15 | 护型=丁 | 日ZA=-15
DXAB=z丁↘忑-13.Z-16 | 护型=丁 | 日ZA=-16
DXAB=y戊↘忠-14.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-15.B2 | 护型=己 | 日ZA=2
DXAB=r己↗忐-16.B3 | 护型=己 | 日ZA=3
DXAB=y戊↘忠-17.A4 | 护型=戊 | 日ZA=4
DXAB=r己↗忐-18.A5 | 护型=己 | 日ZA=5
DXAB=a甲↗上1.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上2.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上3.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上4.A9 | 护型=甲 | 日ZA=9
DXAB=c丙↘下5.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=y戊↘忠-4.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-5.B2 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上3.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上4.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上5.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上6.A8 | 护型=甲 | 日ZA=8
DXAB=b乙→中7.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上8.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上9.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上10.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上11.A4 | 护型=乙 | 日ZA=4
DXAB=c丙↘下12.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-5.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-6.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-7.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-8.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-9.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-10.Z-11 | 护型=丁 | 日ZA=-11
DXAB=y戊↘忠-11.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-12.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忠-13.I暂 | 护型=戊 | 日ZA=1
DXAB=r己↗忐-14.B2暂 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=c丙↘下3.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=y戊↘忠-5.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-6.B2 | 护型=己 | 日ZA=2
DXAB=r己↗忐-7.B3 | 护型=己 | 日ZA=3
DXAB=r己↗忐-8.A4 | 护型=己 | 日ZA=4
DXAB=a甲↗上1.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上2.A6 | 护型=甲 | 日ZA=6
DXAB=b乙→中3.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上4.I暂 | 护型=乙 | 日ZA=1
DXAB=c丙↘下5.Y暂 | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2暂 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3暂 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-5.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-6.Z-7 | 护型=丁 | 日ZA=-7
DXAB=y戊↘忠-7.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-8.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忑-9.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-10.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-11.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=r己↗忐-12.I暂 | 护型=己 | 日ZA=1
DXAB=y戊↘忑-13.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-14.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-15.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-16.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-17.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-18.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-19.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-20.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忑-21.Z-9 | 护型=戊 | 日ZA=-9
DXAB=y戊↘忑-22.Z-10 | 护型=戊 | 日ZA=-10
DXAB=y戊↘忠-23.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-24.B2 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3 | 护型=甲 | 日ZA=3
DXAB=b乙→中2.Y暂 | 护型=乙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2暂 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3暂 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=r己↗忐-5.I | 护型=己 | 日ZA=1
DXAB=a甲↗上1.B2 | 护型=甲 | 日ZA=2
DXAB=a甲↗上2.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上3.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上4.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上5.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上6.A7 | 护型=甲 | 日ZA=7
DXAB=c丙↘下7.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=y戊↘忠-3.I暂 | 护型=戊 | 日ZA=1
DXAB=a甲↗上1.B2暂 | 护型=甲 | 日ZA=2
DXAB=a甲↗上2.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上3.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上4.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上5.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上6.A7 | 护型=甲 | 日ZA=7
DXAB=b乙→中7.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中8.Z-2 | 护型=乙 | 日ZA=-2
DXAB=c丙↘下9.Z-3 | 护型=丙 | 日ZA=-3
DXAB=b乙↗上10.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上11.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上12.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上13.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上14.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上15.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上16.A7 | 护型=乙 | 日ZA=7
DXAB=b乙→中17.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下18.Z-2 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下19.Z-3 | 护型=丙 | 日ZA=-3
DXAB=z丁↘忑-1.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-2.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-3.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-4.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-5.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-6.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-7.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-8.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-9.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-10.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-11.Z-14 | 护型=丁 | 日ZA=-14
DXAB=y戊↘忠-12.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-13.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忠-14.I暂 | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-15.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忠-16.I暂 | 护型=戊 | 日ZA=1
DXAB=r己↗忐-17.B2暂 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上3.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上4.A6 | 护型=甲 | 日ZA=6
